,transgene,reporter,brain_region,spines,apical_intact,specimen_id,adaptation,avg_isi,electrode_0_pa,f_i_curve_slope,fast_trough_t_long_square,fast_trough_t_ramp,fast_trough_t_short_square,fast_trough_v_long_square,fast_trough_v_ramp,fast_trough_v_short_square,has_burst,has_delay,has_pause,hero_first_last_adratio,hero_first_mean_adratio,hero_second_last_adratio,id,input_resistance_mohm,latency,max_rate_first_last_adratio,max_rate_first_mean_adratio,max_rate_long_square,max_rate_second_last_adratio,mouse_line,peak_t_long_square,peak_t_ramp,peak_t_short_square,peak_v_long_square,peak_v_ramp,peak_v_short_square,rheo_first_spike_hw,rheobase_sweep_id,rheobase_sweep_number,ri,sag,seal_gohm,slow_trough_t_long_square,slow_trough_t_ramp,slow_trough_t_short_square,slow_trough_v_long_square,slow_trough_v_ramp,slow_trough_v_short_square,tau,threshold_i_long_square,threshold_i_ramp,threshold_i_short_square,threshold_t_long_square,threshold_t_ramp,threshold_t_short_square,threshold_v_long_square,threshold_v_ramp,threshold_v_short_square,thumbnail_sweep_id,trough_t_long_square,trough_t_ramp,trough_t_short_square,trough_v_long_square,trough_v_ramp,trough_v_short_square,upstroke_downstroke_ratio_long_square,upstroke_downstroke_ratio_ramp,upstroke_downstroke_ratio_short_square,vm_for_sag,vrest
769,Chat,positive,VISp2/3,sparsely spiny,NA,557261437,-0.0314410393938,77.7916666667,-39.0624997626,0.222767857143,2.01116,3.77542,1.02602,-43.21875,-44.2031269073,-51.0156288147,False,False,False,2.05399195864,1.83875736476,1.01234922458,557265154,297.908576,0.0138,0.368904987462,0.788791421,30.0,0.388409027584,Chat-IRES-Cre-neo,2.00888,3.77326,1.02375,32.15625,35.1250019073,33.7187519073,0.0009,557263718,62,195.089280605,0.0982809737325,1.267243776,2.01964,3.79903,1.3868,-44.28125,-45.6093769073,-71.1093826294,11.2271940407,90.0,68.875,320.0,2.00828,3.77272,1.0233,-34.59375,-38.2343769073,-44.421875,557263698,2.01964,3.79903,1.3868,-44.28125,-45.6093769073,-71.1093826294,2.56555384631,3.28733519381,3.34566362873,-93.0625076294,-70.4354019165
366,Chat,positive,VISp4,sparsely spiny,NA,570438732,,,29.3099988724,0.00672877863852,1.06496,5.36102,1.02546,-44.3750038147,-41.9296884537,-49.1250038147,False,False,False,,,,570450078,301.250784,0.01486,,,,,Chat-IRES-Cre-neo,1.06324,5.358955,1.02357,22.4375019073,21.7578139305,22.5625009537,,570445862,56,239.687502384,0.0489184334874,1.266307584,1.10078,,1.70517,-45.375,,-73.6093788147,12.5838858687,90.0,108.437494278,340.0,1.06276,5.358175,1.02314,-35.40625,-29.2421894073,-39.3437519073,570445866,1.10078,5.36122,1.70517,-45.375,-42.015625,-73.6093788147,2.67044058789,1.99414550176,2.87180691808,-98.9062576294,-73.0588912964
430,Chat,positive,VISpm2/3,sparsely spiny,NA,570280138,,,75.0949927242,0.0262962972283,1.04942,8.48337333333,1.024575,-48.90625,-42.2708358765,-50.796877861,False,False,False,,,,570292753,142.739648,0.01118,,,,,Chat-IRES-Cre-neo,1.0479,8.48157333333,1.02306,37.1250038147,34.65625,36.8203144073,,570291605,42,116.093747318,0.147754788399,1.098667776,1.06822,8.50116666667,1.570485,-48.8437538147,-44.0729179382,-71.1718788147,9.36166127769,170.0,186.5,450.0,1.04744,8.48097333333,1.02264,-41.3125,-36.0833346049,-46.960940361,570291617,1.04942,8.50116666667,1.570485,-48.90625,-44.0729179382,-71.1718788147,3.23137701185,2.59266752595,3.46869044971,-84.6250076294,-70.8081970215
358,Chat,positive,RSPd5,aspiny,NA,531342116,0.302196627118,15.505,61.360000414,0.0544477234401,1.09162,7.22661333333,1.02413,-62.5312538147,-60.6354204814,-64.476568222,False,False,False,0.143857758621,0.344405030635,0.15463362069,538756728,184.239136,0.0275,0.220238095238,0.393129095095,11.0,0.218253968254,Chat-IRES-Cre-neo,1.09088,7.22576666667,1.023385,29.59375,26.4895852407,32.015625,0.00042,531342340,46,167.008861899,0.121829211712,2.112418816,,,1.247725,,,-73.6484413147,19.1120493674,80.0,155.083328247,590.0,1.09052,7.22536,1.023055,-45.3125,-39.6354192098,-47.1640644073,531342320,1.09166,7.22664666667,1.247725,-62.59375,-60.6875012716,-73.6484413147,1.56039545356,1.35927571943,1.55135604917,-92.3125076294,-72.6638336182
13,Chat,positive,VISl4,aspiny,NA,570459682,0.0996201651189,120.311428571,25.4800000543,0.13900523386,1.72342,2.22869333333,1.02472,-51.375,-48.7916692098,-51.8359394073,False,False,False,1.32065834279,0.570180095561,0.66458569807,570465085,182.348176,0.00822,0.120059758251,0.476858345021,26.0,0.0907238897189,Chat-IRES-Cre-neo,1.722,2.22722,1.023285,37.5,37.8854192098,41.6328144073,0.00064,570461894,42,168.906092644,0.0618418902159,1.151682688,1.73642,2.25209333333,1.41884,-48.1562538147,-49.4479192098,-62.765627861,11.1729998135,59.9999961853,30.1666660309,180.0,1.72154,2.22674666667,1.022925,-40.59375,-42.1875012716,-47.6875019073,570461902,1.72344,2.24551333333,1.41884,-51.4375,-49.4687525431,-62.765627861,2.58471140146,2.60552702629,3.11544249107,-79.9062576294,-61.2857704163
306,Chat,positive,VISp2/3,aspiny,NA,577218818,,,39.0149995644,0.0161211132612,1.03706,11.15738,1.024548,-52.4375038147,-41.96875,-53.6812515259,False,False,False,,,,577244479,178.95928,0.00806,,,,,Chat-IRES-Cre-neo,1.03602,11.15544,1.023468,38.0000038147,16.0937519073,38.8812522888,,577229665,55,133.214190602,0.0375020354986,2.219353344,1.05814,33.32416,1.710168,-50.71875,-75.625,-76.2062530518,7.83915055974,190.0,253.374984741,390.0,1.03564,11.15446,1.023072,-45.8437538147,-29.90625,-50.2687530518,577229685,1.0371,33.32416,1.710168,-52.4687538147,-75.625,-76.2062530518,2.46033163227,1.3308395681,2.40655405439,-89.8437576294,-75.3700561523
466,Chat,positive,VISp2/3,aspiny,NA,518750800,-0.0496944984393,70.9369230769,-27.9975001516,0.255779919836,1.6502,13.7987333333,1.028988,-46.8750038147,-48.7395833333,-65.3312530518,False,False,False,3.34196891192,2.00036869158,2.30569948187,518752005,95.661408,0.07454,0.991823385119,0.899592105805,37.0,1.35077677841,Chat-IRES-Cre-neo,1.64776,13.7953866667,1.023448,20.90625,18.916668574,21.8000007629,0.00076,518751428,52,80.6251466274,0.0181947629899,1.393943552,1.65572,13.8034333333,1.350528,-49.78125,-51.3750025431,-79.6812530518,7.04623134374,370.0,319.375,989.999938965,1.64728,13.7949133333,1.023096,-40.2500038147,-38.5937525431,-43.5562522888,518751432,1.65572,13.8034333333,1.350528,-49.78125,-51.3750025431,-79.6812530518,3.16321164893,3.57043441258,2.32143583033,-89.0,-79.0847549438
501,Chat,positive,VISp2/3,aspiny,NA,553219924,0.0270556197493,79.5216666667,-40.229999887,0.161611374408,1.03442,6.55337333333,1.024664,-53.28125,-49.7604179382,-53.0500030518,False,False,False,0.516925092815,0.595309454446,0.625027298537,553225783,220.72056,0.00616,0.0864642305713,0.0864571110974,26.0,0.307771487391,Chat-IRES-Cre-neo,1.03324,6.55216666667,1.023536,43.3437538147,49.0416679382,50.8687515259,0.00054,553221562,42,147.343829274,0.0674173012376,1.239081472,1.0489,6.57062,1.629752,-51.5000038147,-47.8125025431,-76.9375030518,6.62472187892,130.0,138.291666667,260.0,1.03282,6.55172666667,1.02316,-49.84375,-42.9791679382,-53.4625038147,553221542,1.03444,6.55338,1.629752,-53.3125038147,-49.7708333333,-76.9375045776,2.90765609183,2.56267427576,2.86411858329,-93.1562576294,-76.0901794434
805,Chat,positive,VISp2/3,aspiny,NA,577369606,,,61.4200010296,0.0101993869304,1.0666,11.5679,1.02483111111,-52.0625038147,-46.5625038147,-55.8854192098,False,False,False,,,,577377671,172.855808,0.01932,,,,,Chat-IRES-Cre-neo,1.0653,11.5664333333,1.02352222222,32.625,22.6979173024,36.8055580987,,577374217,45,115.781247616,0.0697698369622,1.665028736,1.0913,,1.4872,-51.0,,-75.4375033908,11.7883483306,170.0,263.625,520.0,1.0649,11.5657933333,1.02317777778,-34.53125,-31.8020852407,-45.7465307448,577374221,1.06666,11.5679333333,1.4872,-52.1250038147,-46.5833358765,-75.4375033908,2.54222000803,1.73450417493,3.09522060104,-89.71875,-75.4819488525
100,Chat,positive,VISp4,aspiny,NA,519220630,0.0665747129799,72.7015384615,-29.6349993156,0.285459940653,1.05932,4.05799,1.026092,-46.5,-47.90625,-55.9812538147,False,False,False,0.173463356974,0.484446419502,0.185283687943,519248836,397.379712,0.01352,0.198223913733,0.498568214359,40.0,0.231208372978,Chat-IRES-Cre-neo,1.05716,4.05603,1.02368,16.0,25.4218759537,25.2875007629,0.0007,519223473,39,243.906363845,0.0763629674911,1.472867072,1.079,,1.434804,-48.09375,,-75.1125045776,14.3841158149,90.0,75.625,340.0,1.05668,4.05553,1.02326,-37.7812538147,-36.765625,-47.0250030518,519223455,1.079,4.05823,1.434804,-48.09375,-48.0468788147,-75.1125045776,2.98291006527,2.73371841967,2.84130880887,-99.96875,-74.2015075684
